feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,label
600,300,2020,6,4,3,2,1,1,0,0,HOUSE,RESIDENTIAL,Flat,Cement,Concrete,PAVED,0.8,1.2,0.3,0.5,7,42.857142857142854,7,10,NaN
600,250,2024,2,2,1,2,1,1,0,0,HOUSE,RESIDENTIAL,Flat,Cement,Concrete,PAVED,0.8,1.2,0.3,0.5,3,83.33333333333333,7,5,NaN
4,7,2018,8,4,2,3,1,1,0,0,VILLA,RESIDENTIAL,Flat,Cement,Concrete,PAVED,2.4,0.5,3,0.3,6,1.1666666666666667,8,5,NaN
3,3,2020,6,1,2,3,1,1,0,0,COMMERCIAL,RESIDENTIAL,Flat,Cement,Concrete,PAVED,0.2,3,2,3,3,1,4,10,1900000
280.11484276612623,487.92518410081476,2009,17,1,2,1,1,1,1,0,APARTMENT,RESIDENTIAL,Gentle,Marble,Concrete,PAVED,1.6819043479654936,2.068882571038981,1.7157612424011925,0.278022901989198,3,162.64172803360492,8,10,167500000
304.31187550724206,365.2293589079913,2016,10,3,3,2,1,1,0,0,VILLA,RESIDENTIAL,Hilly,Tiles,Tiles,DIRT,2.5638026709426063,2.885247541440493,1.2825555627513376,1.3124047670852568,6,60.87155981799855,4.5,8,92400000
267.70055085957745,258.9469249691766,2021,5,4,2,1,1,1,0,0,COMMERCIAL,RESIDENTIAL,Hilly,Tiles,Concrete,UNPAVED,1.5455063484394693,0.6473539716553423,1.0975418526030543,0.7986011015032977,6,43.1578208281961,6.5,10,82300000
643.4116167902292,218.62704998818467,2001,25,1,2,1,1,1,1,0,COMMERCIAL,RESIDENTIAL,Steep,Tiles,Concrete,PAVED,2.6131706282294775,0.28426468122039805,1.9303794274118333,0.4059464432546751,3,72.87568332939489,10.5,8,62900000
956.093047804226,64.02762656088862,2021,5,2,1,1,1,1,0,0,LAND,RESIDENTIAL,Hilly,Wood,Iron sheets,UNDER_CONSTRUCTION,1.8175451299242154,4.545236100269287,0.7559762181931162,1.2844798975751217,3,21.342542186962874,9,10,61900000
554.2382752374422,117.47089278328488,2012,14,4,1,1,1,1,0,1,LAND,RESIDENTIAL,Hilly,Tiles,Iron sheets,PAVED,1.1399834402989044,1.1240464346097538,0.7199776218126164,1.1345403088400419,5,23.494178556656976,13.5,8,42400000
172.54392122927777,339.169878593292,2000,26,1,1,1,1,1,0,0,HOUSE,RESIDENTIAL,Flat,Wood,Tiles,UNDER_CONSTRUCTION,2.700199134359567,3.6124778345024655,0.9662306655187229,0.6739291149247746,2,169.584939296646,7,10,72700000
426.0518525984529,519.4612356367159,2019,7,2,2,0,1,1,0,1,COMMERCIAL,RESIDENTIAL,Gentle,Cement,Concrete,UNPAVED,0.42568913962578847,2.56727490080375,1.4160802535510402,0.2066480478798971,4,129.86530890917896,9,7,106100000
783.4698903198021,514.5180667314496,2011,15,5,3,2,1,1,0,0,LAND,RESIDENTIAL,Flat,Cement,Tiles,UNDER_CONSTRUCTION,0.3988592381526772,0.3633907358506122,0.06040578257407048,0.2360124691250869,8,64.3147583414312,10.5,6,116900000
602.4407035751542,188.74614323898615,2000,26,3,2,2,1,1,1,0,VILLA,RESIDENTIAL,Steep,Tiles,Thatched,UNDER_CONSTRUCTION,2.450855733597505,1.5538968743640198,1.7235310694090324,1.0137860950212836,5,37.74922864779723,12.5,9,66700000
735.611360173822,361.5581357319734,2006,20,2,1,0,1,1,0,0,COMMERCIAL,RESIDENTIAL,Hilly,Marble,Concrete,DIRT,1.3415392204531442,0.42621037343294144,1.4266039889297109,1.184557725527596,3,120.51937857732446,8.5,6,113100000
213.10769257688224,138.2854561173867,2008,18,1,2,1,1,1,1,0,APARTMENT,RESIDENTIAL,Hilly,Cement,Tiles,UNDER_CONSTRUCTION,0.4630313405370958,0.4697515411535169,1.076976230675296,1.681073016466452,3,46.0951520391289,8.5,9,35400000
1006.0779482564599,298.54594000413545,2007,19,2,1,1,1,1,1,1,VILLA,RESIDENTIAL,Flat,Marble,Thatched,UNPAVED,0.4869000050013014,4.339221823031636,1.4050841969393149,0.03170190191384581,3,99.51531333471182,6.5,10,135200000
253.00948902740674,92.48063691378972,2017,9,2,1,2,1,1,1,0,APARTMENT,RESIDENTIAL,Steep,Wood,Concrete,UNDER_CONSTRUCTION,1.0089639943407298,4.54896731447409,1.9135332797883566,1.9312035843875328,3,30.82687897126324,5,10,32300000
1087.816249193345,408.6569941155387,2017,9,3,2,0,1,1,0,0,COMMERCIAL,RESIDENTIAL,Gentle,Tiles,Concrete,UNDER_CONSTRUCTION,0.16522924812190753,3.0181358578642223,1.0822656315456833,1.7305577440412885,5,81.73139882310774,7.5,10,157500000
625.1446704109372,223.14317541455847,2011,15,4,2,2,1,1,0,0,LAND,RESIDENTIAL,Hilly,Tiles,Concrete,UNDER_CONSTRUCTION,2.324777741515751,4.061718703208058,1.8101641965594153,1.3923908718843248,6,37.19052923575975,8,9,78200000
109.00944311188888,189.607802028341,2007,19,1,3,1,1,0,1,1,APARTMENT,RESIDENTIAL,Steep,Wood,Thatched,DIRT,0.9994332900208005,4.477808765883385,0.7090697090968534,0.904115628666025,4,47.40195050708525,10.5,7,39000000
