feature_code,feature_name,importance
feature_1,buildingSize,0.7460637658870591
feature_0,landSize,0.048096291768528456
feature_24,districtEncoded,0.037250337989845415
feature_23,amenitiesScore,0.026193114914935475
feature_22,roomDensity,0.023754082765916763
feature_17,nearestSchoolKm,0.023300424692379224
feature_18,nearestHospitalKm,0.01950849022663849
feature_19,nearestTransportKm,0.01699309351339265
feature_20,nearestMarketKm,0.014382642477329179
feature_3,propertyAge,0.012779368579787653
feature_5,bathrooms,0.00812895135736204
feature_2,yearBuilt,0.007394184026915884
feature_21,totalRooms,0.005493876099831042
feature_4,bedrooms,0.0031516934596773614
feature_9,hasWaterTank,0.002832956259099223
feature_6,parkingSpaces,0.0019338733428659958
feature_8,hasWaterSupply,0.0018144316265114333
feature_10,floodRisk,0.0009069156218192941
feature_7,hasElectricity,2.150539010539428e-05
feature_16,roadAccessType,0.0
feature_15,roofType,0.0
feature_12,propertyCategory,0.0
feature_11,propertyType,0.0
feature_14,floorMaterial,0.0
feature_13,landSlope,0.0
